id_simulacao;id_projetil;id_alvo;angulo_trajetoria_projetil;velocidade_inicial1_projetil;velocidade_inicial2_projetil;velocidade_usada_projetil;tempo_de_voo_projetil;tipo_movimento_projetil;existencia_resolucao_real_angulo_fornecido;altura_inicial_alvo;distancia_canhao_alvo;velocidade_inicial_alvo;angulo_maximo_acerto_alvo;tempo_ate_atingir_solo_alvo;
1;59;86;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
2;60;87;1,33;404,84;184556,54;404,84;10,18;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
3;61;88;1,75;0,00;0,00;404,84;0,00;N/A;N;4000,00;1000,00;50,00;75,96;80,00;
4;62;89;1,40;237,36;-409,64;237,36;24,26;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
5;63;90;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
6;64;91;1,57;2,14;-2,14;2,14;0,00;Ascendente;S;8000,00;1000,00;50,00;82,87;160,00;
7;65;92;1,33;794,30;-43569,24;794,30;10,39;Descendente;S;8000,00;2000,00;50,00;75,96;160,00;
8;66;93;1,48;379,88;-457,09;379,88;27,03;Ascendente;S;8000,00;2000,00;50,00;75,96;160,00;
9;67;94;1,40;237,36;-409,64;237,36;24,26;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
10;68;95;1,40;237,36;-409,64;237,36;24,26;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
11;69;96;1,57;2,14;-2,14;2,14;0,00;Ascendente;S;4000,00;1000,00;50,00;75,96;80,00;
12;70;97;1,52;335,09;-408,12;335,09;21,47;Descendente;S;6000,00;1000,00;50,00;80,54;120,00;
13;71;98;1,55;532,81;-588,67;532,81;11,39;Ascendente;S;6000,00;1000,00;50,00;80,54;120,00;
14;72;99;1,13;449,20;-1267,92;449,20;15,80;Ascendente;S;6000,00;3000,00;50,00;63,43;120,00;
15;73;100;0,79;0,00;0,00;449,20;0,00;N/A;N;6000,00;3000,00;50,00;63,43;120,00;
16;74;101;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
17;75;102;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
18;76;103;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;4000,00;1000,00;50,00;75,96;80,00;
