id_alvo;altura_inicial_alvo;distancia_canhao_alvo;velocidade_inicial_alvo;angulo_maximo_acerto_alvo;tempo_ate_atingir_solo_alvo;
1;4000,00;1000,00;50,00;75,96;50,00;
2;4000,00;1000,00;50,00;75,96;50,00;
3;4000,00;1000,00;50,00;75,96;50,00;
4;4000,00;1000,00;0,00;75,96;50,00;
5;4000,00;1000,00;0,00;75,96;50,00;
6;4000,00;1000,00;0,00;75,96;50,00;
7;4000,00;1000,00;0,00;75,96;50,00;
8;4000,00;1000,00;50,00;75,96;50,00;
9;4000,00;1000,00;50,00;75,96;50,00;
10;4000,00;1000,00;50,00;75,96;50,00;
11;4000,00;1000,00;50,00;75,96;50,00;
12;4000,00;1000,00;0,00;75,96;50,00;
13;4000,00;1000,00;0,00;75,96;50,00;
14;4000,00;1000,00;0,00;75,96;50,00;
15;4000,00;1000,00;0,00;75,96;50,00;
16;4000,00;1000,00;0,00;75,96;50,00;
17;4000,00;1000,00;0,00;75,96;50,00;
18;4000,00;1000,00;0,00;75,96;50,00;
19;4000,00;1000,00;0,00;75,96;50,00;
20;4000,00;1000,00;0,00;75,96;50,00;
21;4000,00;1000,00;0,00;75,96;50,00;
22;4000,00;1000,00;0,00;75,96;50,00;
23;4000,00;1000,00;50,00;75,96;80,00;
24;4000,00;1000,00;50,00;75,96;80,00;
25;4000,00;1000,00;50,00;75,96;80,00;
26;4000,00;1000,00;50,00;75,96;80,00;
27;4000,00;1000,00;50,00;75,96;80,00;
28;4000,00;1000,00;50,00;75,96;80,00;
29;90000,00;1500,00;160,00;89,05;562,50;
30;4000,00;1000,00;50,00;75,96;80,00;
31;4000,00;1000,00;50,00;75,96;80,00;
32;4000,00;1000,00;50,00;75,96;80,00;
33;1000,00;500,00;15,00;63,43;66,67;
34;1000,00;500,00;15,00;63,43;66,67;
35;4000,00;1000,00;50,00;75,96;80,00;
36;4000,00;1000,00;50,00;75,96;80,00;
37;4000,00;1000,00;50,00;75,96;80,00;
38;4000,00;1000,00;50,00;75,96;80,00;
39;4000,00;1000,00;50,00;75,96;80,00;
40;4000,00;1000,00;50,00;75,96;80,00;
41;4000,00;1000,00;50,00;75,96;80,00;
42;4000,00;1000,00;50,00;75,96;80,00;
43;4000,00;1000,00;50,00;75,96;80,00;
44;4000,00;1000,00;50,00;75,96;80,00;
45;4000,00;1000,00;50,00;75,96;80,00;
46;4000,00;1000,00;50,00;75,96;80,00;
47;4000,00;1000,00;50,00;75,96;80,00;
48;4000,00;1000,00;50,00;75,96;80,00;
49;4000,00;1000,00;50,00;75,96;80,00;
50;4000,00;1000,00;50,00;75,96;80,00;
51;4000,00;1000,00;50,00;75,96;80,00;
52;4000,00;1000,00;50,00;75,96;80,00;
53;50,00;100,00;10,00;26,57;5,00;
54;4000,00;1000,00;50,00;75,96;80,00;
55;4000,00;1000,00;50,00;75,96;80,00;
56;4000,00;1000,00;50,00;75,96;80,00;
57;4000,00;1000,00;50,00;75,96;80,00;
58;4000,00;1000,00;50,00;75,96;80,00;
59;4000,00;1000,00;50,00;75,96;80,00;
60;4000,00;1000,00;50,00;75,96;80,00;
61;4000,00;1000,00;25,00;75,96;160,00;
62;4000,00;1000,00;50,00;75,96;80,00;
63;4000,00;1000,00;50,00;75,96;80,00;
64;4000,00;1000,00;50,00;75,96;80,00;
65;4000,00;1000,00;50,00;75,96;80,00;
66;4000,00;1000,00;50,00;75,96;80,00;
67;4000,00;1000,00;50,00;75,96;80,00;
68;4000,00;1000,00;50,00;75,96;80,00;
69;4000,00;1000,00;50,00;75,96;80,00;
70;4000,00;1000,00;50,00;75,96;80,00;
71;4000,00;1000,00;50,00;75,96;80,00;
72;4000,00;1000,00;50,00;75,96;80,00;
73;4000,00;1000,00;50,00;75,96;80,00;
74;4000,00;1000,00;50,00;75,96;80,00;
75;4000,00;1000,00;50,00;75,96;80,00;
76;4000,00;1000,00;50,00;75,96;80,00;
77;4000,00;1000,00;50,00;75,96;80,00;
78;4000,00;1000,00;50,00;75,96;80,00;
79;4000,00;1000,00;50,00;75,96;80,00;
80;4000,00;1000,00;50,00;75,96;80,00;
81;4000,00;1000,00;50,00;75,96;80,00;
82;4000,00;1000,00;50,00;75,96;80,00;
83;4000,00;1000,00;50,00;75,96;80,00;
84;4000,00;100,00;50,00;88,57;80,00;
85;4000,00;1000,00;50,00;75,96;80,00;
86;4000,00;1000,00;50,00;75,96;80,00;
87;4000,00;1000,00;50,00;75,96;80,00;
88;4000,00;1000,00;50,00;75,96;80,00;
89;4000,00;1000,00;50,00;75,96;80,00;
90;4000,00;1000,00;50,00;75,96;80,00;
91;8000,00;1000,00;50,00;82,87;160,00;
92;8000,00;2000,00;50,00;75,96;160,00;
93;8000,00;2000,00;50,00;75,96;160,00;
94;4000,00;1000,00;50,00;75,96;80,00;
95;4000,00;1000,00;50,00;75,96;80,00;
96;4000,00;1000,00;50,00;75,96;80,00;
97;6000,00;1000,00;50,00;80,54;120,00;
98;6000,00;1000,00;50,00;80,54;120,00;
99;6000,00;3000,00;50,00;63,43;120,00;
100;6000,00;3000,00;50,00;63,43;120,00;
101;4000,00;1000,00;50,00;75,96;80,00;
102;4000,00;1000,00;50,00;75,96;80,00;
103;4000,00;1000,00;50,00;75,96;80,00;
