id_projetil;angulo_trajetoria_projetil;velocidade_inicial1_projetil;velocidade_inicial2_projetil;velocidade_usada_projetil;tempo_de_voo_projetil;tipo_de_movimento_projetil;existencia_resolucao_real_angulo_fornecido;
1;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
2;1,45;380,76;37596,23;380,76;32,33;Ascendente;S;
3;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
4;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
5;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
6;0,79;236,25;10370,35;236,25;2,99;Descendente;S;
7;0,87;258,74;14177,36;258,74;3,01;Descendente;S;
8;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
9;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
10;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
11;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
12;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
13;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
14;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
15;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
16;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
17;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
18;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
19;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
20;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
21;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
22;0,79;139,42;23430,81;139,42;10,14;Ascendente;S;
23;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
24;0,79;138,32;-70849,00;138,32;19,94;Ascendente;S;
25;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
26;0,79;67,68;-2896,10;67,68;9,76;Ascendente;S;
27;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
28;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
29;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
30;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
31;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
32;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
33;0,79;139,42;23430,81;139,42;20,10;Ascendente;S;
34;0,79;284,03;11501,08;284,03;40,95;Ascendente;S;
35;1,31;0,00;0,00;0,00;0,00;N/A;N;
36;0,79;0,00;0,00;0,00;0,00;N/A;N;
37;1,33;400,77;-43175,71;400,77;0,00;Descendente;S;
38;1,33;400,77;-43175,71;400,77;79,26;Descendente;S;
39;1,33;400,77;-43175,71;400,77;0,00;Descendente;S;
40;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
41;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
42;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
43;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
44;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
45;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
46;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
47;1,31;0,00;0,00;400,77;0,00;N/A;N;
48;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
49;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
50;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
51;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
52;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
53;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
54;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
55;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
56;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
57;1,33;0,00;0,00;0,00;0,00;N/A;N;
58;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
59;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
60;1,33;404,84;184556,54;404,84;10,18;Descendente;S;
61;1,75;0,00;0,00;404,84;0,00;N/A;N;
62;1,40;237,36;-409,64;237,36;24,26;Descendente;S;
63;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
64;1,57;2,14;-2,14;2,14;0,00;Ascendente;S;
65;1,33;794,30;-43569,24;794,30;10,39;Descendente;S;
66;1,48;379,88;-457,09;379,88;27,03;Ascendente;S;
67;1,40;237,36;-409,64;237,36;24,26;Descendente;S;
68;1,40;237,36;-409,64;237,36;24,26;Descendente;S;
69;1,57;2,14;-2,14;2,14;0,00;Ascendente;S;
70;1,52;335,09;-408,12;335,09;21,47;Descendente;S;
71;1,55;532,81;-588,67;532,81;11,39;Ascendente;S;
72;1,13;449,20;-1267,92;449,20;15,80;Ascendente;S;
73;0,79;0,00;0,00;449,20;0,00;N/A;N;
74;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
75;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
76;1,33;400,77;-43175,71;400,77;10,30;Descendente;S;
